#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
221, 1/ 1/2000, 3:45: 0 AM,3,3,5,151,400
222, 1/ 1/2000, 3:46: 0 AM,3,4,4,159,400
223, 1/ 1/2000, 3:47: 0 AM,3,3,3,153,400
224, 1/ 1/2000, 3:48: 0 AM,4,6,8,153,400
225, 1/ 1/2000, 3:49: 0 AM,2,3,7,161,400
226, 1/ 1/2000, 3:50: 0 AM,3,4,4,158,400
227, 1/ 1/2000, 3:51: 0 AM,2,2,2,167,400
228, 1/ 1/2000, 3:52: 0 AM,3,4,5,162,400
229, 1/ 1/2000, 3:53: 0 AM,4,6,7,162,400
230, 1/ 1/2000, 3:54: 0 AM,2,3,3,154,400
231, 1/ 1/2000, 3:55: 0 AM,2,3,3,152,400
232, 1/ 1/2000, 3:56: 0 AM,3,3,3,145,400
233, 1/ 1/2000, 3:57: 0 AM,2,3,3,153,400
234, 1/ 1/2000, 3:58: 0 AM,3,3,3,154,400
235, 1/ 1/2000, 3:59: 0 AM,2,3,4,141,400
236, 1/ 1/2000, 4: 0: 0 AM,3,4,4,148,400
237, 1/ 1/2000, 4: 1: 0 AM,3,4,5,149,400
238, 1/ 1/2000, 4: 2: 0 AM,3,3,5,141,400
239, 1/ 1/2000, 4: 3: 0 AM,3,4,4,144,400
240, 1/ 1/2000, 4: 4: 0 AM,2,2,4,142,400
241, 1/ 1/2000, 4: 5: 0 AM,3,4,4,146,400
242, 1/ 1/2000, 4: 6: 0 AM,2,3,5,137,400
243, 1/ 1/2000, 4: 7: 0 AM,3,5,5,130,400
244, 1/ 1/2000, 4: 8: 0 AM,3,4,4,138,400
245, 1/ 1/2000, 4: 9: 0 AM,2,4,4,134,400
246, 1/ 1/2000, 4:10: 0 AM,2,3,5,133,400
247, 1/ 1/2000, 4:11: 0 AM,2,3,3,126,400
248, 1/ 1/2000, 4:12: 0 AM,2,2,2,117,400
249, 1/ 1/2000, 4:13: 0 AM,2,3,3,131,400
250, 1/ 1/2000, 4:14: 0 AM,3,3,3,119,400
251, 1/ 1/2000, 4:15: 0 AM,2,3,3,129,400
252, 1/ 1/2000, 4:16: 0 AM,2,3,3,123,400
253, 1/ 1/2000, 4:17: 0 AM,3,4,4,139,400
254, 1/ 1/2000, 4:18: 0 AM,2,2,2,139,400
